"","Line","Specie","mono_mix","zone","biomass","emergence_rate","pre_LERp","LERp","LER_cc","cover_crop"
"1","1","Weed","mono","Z1",3.27,12,0.27,1,NA,"C"
"2","1","Weed","mono","Z2",6.7,22,0.3,1,NA,"C"
"3","1","Weed","mono","Z3",14,33,0.42,1,NA,"C"
"4","2","Barley","mix","Z1",1.2,11,0.11,0.738209154312644,2.43517882979474,"B+M"
"5","2","Barley","mix","Z2",16.1,24,0.67,0.739702152356848,18.296519918111,"B+M"
"6","2","Barley","mix","Z3",2.3,29,0.08,0.11404101101934,0.377198905756182,"B+M"
"7","2","Mustard","mix","Z1",5.6,9,0.62,1.69696967548209,NA,"B+M"
"8","2","Mustard","mix","Z2",41.2,12,3.43,17.5568177657541,NA,"B+M"
"9","2","Mustard","mix","Z3",1.5,12,0.13,0.263157894736842,NA,"B+M"
"10","2","Weed","mix","Z1",9.9,20,0.5,1.816513761,NA,"B+M"
"11","2","Weed","mix","Z2",1.7,0,Inf,NA,NA,"B+M"
"12","2","Weed","mix","Z3",12.4,25,0.5,1.169142869,NA,"B+M"
"13","3","Radish","mix","Z1",2.7,7,0.39,0.111111112391404,3.57777764039141,"R+Fn"
"14","3","Radish","mix","Z2",42.6,9,4.73,0.786871269089357,0.886871280089357,"R+Fn"
"15","3","Radish","mix","Z3",4.6,6,0.77,1.3673036048359,1.3673036048359,"R+Fn"
"16","3","Fenugreek","mix","Z1",0.8,2,0.4,3.46666652800001,NA,"R+Fn"
"17","3","Fenugreek","mix","Z2",0.4,11,0.04,0.100000011,NA,"R+Fn"
"18","3","Fenugreek","mix","Z3",0,12,0,0,NA,"R+Fn"
"19","3","Weed","mix","Z1",3.6,35,0.1,0.377457394495413,NA,"R+Fn"
"20","3","Weed","mix","Z2",12.2,5,2.44,8.01194041808866,NA,"R+Fn"
"21","3","Weed","mix","Z3",26.2,45,0.58,1.37238096086667,NA,"R+Fn"
"22","4","Barley","mix","Z1",0.5,10,0.05,0.338345859573747,0.838345859573746,"M+B+Fb"
"23","4","Barley","mix","Z2",0.4,20,0.02,0.02205323198109,2.42913287799879,"M+B+Fb"
"24","4","Barley","mix","Z3",0,7,0,0,1.30710108441905,"M+B+Fb"
"25","4","Faba bean","mix","Z1",3.6,3,1.2,0.5,NA,"M+B+Fb"
"26","4","Faba bean","mix","Z2",13.6,4,3.4,2.4070796460177,NA,"M+B+Fb"
"27","4","Faba bean","mix","Z3",7.24,3,2.41,1.14920634761905,NA,"M+B+Fb"
"28","4","Mustard","mix","Z1",0.01,0,Inf,NA,NA,"M+B+Fb"
"29","4","Mustard","mix","Z2",0,0,NA,NA,NA,"M+B+Fb"
"30","4","Mustard","mix","Z3",0.6,8,0.08,0.1578947368,NA,"M+B+Fb"
"31","4","Weed","mix","Z1",4.1,31,0.13,0.485350678899083,NA,"M+B+Fb"
"32","4","Weed","mix","Z2",2.7,24,0.11,0.369402990588104,NA,"M+B+Fb"
"33","4","Weed","mix","Z3",15.3,31,0.49,1.1633640737765,NA,"M+B+Fb"
"34","5","Barley","mix","Z1",2.4,27,0.09,0.601503757872124,1.43483709120546,"B+Fb"
"35","5","Barley","mix","Z2",19.7,28,0.7,0.775801198052854,1.76695164053073,"B+Fb"
"36","5","Barley","mix","Z3",1.7,12,0.14,0.203703707165335,1.31798942145105,"B+Fb"
"37","5","Faba bean","mix","Z1",2,1,2,0.833333333333333,NA,"B+Fb"
"38","5","Faba bean","mix","Z2",8.4,6,1.4,0.991150442477876,NA,"B+Fb"
"39","5","Faba bean","mix","Z3",11.7,5,2.34,1.11428571428571,NA,"B+Fb"
"40","5","Weed","mix","Z1",10.2,41,0.25,0.912955926605505,NA,"B+Fb"
"41","5","Weed","mix","Z2",3.2,4,0.8,2.62686571084874,NA,"B+Fb"
"42","5","Weed","mix","Z3",19.5,33,0.59,1.39285715464286,NA,"B+Fb"
"43","6","Barley","mono","Z1",7.98,54,0.15,1,NA,"B"
"44","6","Barley","mono","Z2",26.3,29,0.91,1,NA,"B"
"45","6","Barley","mono","Z3",30.6,44,0.7,1,NA,"B"
"46","6","Weed","mix","Z1",4.5,22,0.2,0.750625504587156,NA,"B"
"47","6","Weed","mix","Z2",5.7,8,0.71,2.33955227372466,NA,"B"
"48","6","Weed","mix","Z3",2.2,6,0.37,0.864285730785714,NA,"B"
"49","7","Radish","mono","Z1",24.3,7,3.47,1,NA,"R"
"50","7","Radish","mono","Z2",78.2,13,6.02,1,NA,"R"
"51","7","Radish","mono","Z3",7.85,14,0.56,1,NA,"R"
"52","7","Weed","mix","Z1",4.3,25,0.17,0.631192660550459,NA,"R"
"53","7","Weed","mix","Z2",0.9,3,0.3,0.985074641568278,NA,"R"
"54","7","Weed","mix","Z3",9.5,38,0.25,0.589285720178571,NA,"R"
"55","8","Fenugreek","mono","Z1",3,26,0.12,1,NA,"Fn"
"56","8","Fenugreek","mono","Z2",4,11,0.36,1,NA,"Fn"
"57","8","Fenugreek","mono","Z3",6.1,25,0.24,1,NA,"Fn"
"58","8","Weed","mix","Z1",7.9,25,0.32,1.15963302752294,NA,"Fn"
"59","8","Weed","mix","Z2",20.5,9,2.28,7.47927043401896,NA,"Fn"
"60","8","Weed","mix","Z3",6.1,19,0.32,0.756766921139098,NA,"Fn"
"61","9","Radish","mix","Z1",13.7,7,1.96,0.563786009285509,2.11050994843252,"R+B"
"62","9","Radish","mix","Z2",33.1,7,4.73,0.786079648885361,1.31640736928522,"R+B"
"63","9","Radish","mix","Z3",17.4,17,1.02,1.82540275547463,1.99049594524526,"R+B"
"64","9","Barley","mix","Z1",3.2,14,0.23,1.54672393914701,NA,"R+B"
"65","9","Barley","mix","Z2",10.1,21,0.48,0.530327720399863,NA,"R+B"
"66","9","Barley","mix","Z3",3.1,27,0.11,0.165093189770633,NA,"R+B"
"67","9","Weed","mix","Z1",9.3,48,0.19,0.711009174311927,NA,"R+B"
"68","9","Weed","mix","Z2",0.1,7,0.01,0.046908302192661,NA,"R+B"
"69","9","Weed","mix","Z3",7.7,74,0.1,0.245270263166988,NA,"R+B"
"70","10","Fenugreek","mix","Z1",1.7,10,0.17,1.4733332744,1.71940301506061,"B+Fn "
"71","10","Fenugreek","mix","Z2",1.97,7,0.28,0.773928575239286,1.58867298021028,"B+Fn "
"72","10","Fenugreek","mix","Z3",1.8,8,0.23,0.922131147540984,1.36107163617536,"B+Fn "
"73","10","Barley","mix","Z1",0.4,11,0.04,0.246069740660605,NA,"B+Fn "
"74","10","Barley","mix","Z2",13.3,18,0.74,0.814744404970997,NA,"B+Fn "
"75","10","Barley","mix","Z3",5.8,19,0.31,0.438940488634376,NA,"B+Fn "
"76","10","Weed","mix","Z1",15.6,23,0.68,2.48903071559633,NA,"B+Fn "
"77","10","Weed","mix","Z2",3.3,3,1.1,3.61194035241702,NA,"B+Fn "
"78","10","Weed","mix","Z3",11.6,16,0.73,1.70892858851786,NA,"B+Fn "
"79","11","Faba bean","mono","Z1",9.6,4,2.4,1,NA,"Fb"
"80","11","Faba bean","mono","Z2",22.6,16,1.41,1,NA,"Fb"
"81","11","Faba bean","mono","Z3",18.9,9,2.1,1,NA,"Fb"
"82","11","Weed","mix","Z1",10.5,26,0.4,1.48200422018349,NA,"Fb"
"83","11","Weed","mix","Z2",0.4,2,0.2,0.656716427712186,NA,"Fb"
"84","11","Weed","mix","Z3",7.7,18,0.43,1.00833334865476,NA,"Fb"
"85","12","Mustard","mix","Z1",1.6,9,0.18,0.484848486501377,1.38068181983471,"M+Fb"
"86","12","Mustard","mix","Z2",37,7,5.29,27.0292201868359,28.0203706293138,"M+Fb"
"87","12","Mustard","mix","Z3",2.6,6,0.43,0.912280694736842,1.83609021854637,"M+Fb"
"88","12","Faba bean","mix","Z1",4.3,2,2.15,0.895833333333333,NA,"M+Fb"
"89","12","Faba bean","mix","Z2",9.8,7,1.4,0.991150442477876,NA,"M+Fb"
"90","12","Faba bean","mix","Z3",9.7,5,1.94,0.923809523809524,NA,"M+Fb"
"91","12","Weed","mix","Z1",13,37,0.35,1.28936275229358,NA,"M+Fb"
"92","12","Weed","mix","Z2",1.5,3,0.5,1.64179106928046,NA,"M+Fb"
"93","12","Weed","mix","Z3",6.3,26,0.24,0.571153846425824,NA,"M+Fb"
"94","13","Radish","mix","Z1",0,0,NA,NA,3.6233582679475,"R+B+Fn"
"95","13","Radish","mix","Z2",0,0,NA,NA,2.06383081465224,"R+B+Fn"
"96","13","Radish","mix","Z3",0,0,NA,NA,0,"R+B+Fn"
"97","13","Barley","mix","Z1",0.1,1,0.1,0.676691719147493,NA,"R+B+Fn"
"98","13","Barley","mix","Z2",0.5,1,0.5,0.551330799527245,NA,"R+B+Fn"
"99","13","Barley","mix","Z3",0,1,0,0,NA,"R+B+Fn"
"100","13","Fenugreek","mix","Z1",1.7,5,0.34,2.9466665488,NA,"R+B+Fn"
"101","13","Fenugreek","mix","Z2",4.4,8,0.55,1.512500015125,NA,"R+B+Fn"
"102","13","Fenugreek","mix","Z3",0,8,0,0,NA,"R+B+Fn"
"103","13","Weed","mix","Z1",11.6,30,0.39,1.41896025688073,NA,"R+B+Fn"
"104","13","Weed","mix","Z2",11.2,52,0.22,0.707233091152733,NA,"R+B+Fn"
"105","13","Weed","mix","Z3",11.5,31,0.37,0.874423967315668,NA,"R+B+Fn"
"106","14","Mustard","mono","Z1",11,30,0.37,1,NA,"M"
"107","14","Mustard","mono","Z2",8.8,45,0.2,1,NA,"M"
"108","14","Mustard","mono","Z3",15.2,32,0.48,1,NA,"M"
"109","14","Weed","mix","Z1",17.9,49,0.37,1.34057291743119,NA,"M"
"110","14","Weed","mix","Z2",9.8,43,0.23,0.748351288781363,NA,"M"
"111","14","Weed","mix","Z3",7.1,21,0.34,0.796938787969388,NA,"M"
